Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Double Kettlebell L Sit Lift Over,Advanced,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Bottoms Up Windmill,Advanced,Abdominals,Obliques,,,Kettlebell
Single Arm Kettlebell Bottoms Up Bent Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Bottoms Up Half Kneeling Bent Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell
Double Kettlebell Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Double Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Double Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Double Dumbbell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Double Dumbbell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Single Arm Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Alternating Single Arm Dumbbell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Single Arm Dumbbell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Double Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Dumbbell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Dumbbell Goblet Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Dumbbell Goblet Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Double Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Single Arm Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Clubbell Front Flag Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Front Flag Hold Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Front Flag Hold Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Double Clubbell Front Flag Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Front Flag Hold Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Front Flag Hold Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Single Arm Clubbell Front Flag Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Front Flag Hold Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Front Flag Hold Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell
Landmine Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Landmine Goblet Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Landmine Goblet Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Landmine
Macebell Order Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Macebell Order Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Macebell Order Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell
Double Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Bodyweight Alternating Lateral Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Alternating Forward Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Alternating Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight
Macebell Order Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Double Dumbbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Macebell Order Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Double Dumbbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Clubbell Order March,Novice,Abdominals,Rectus Abdominis,,,Clubbell
Macebell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Suspension Alternating Lateral Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Bulgarian Bag Back Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Bulgarian Bag Back Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Bulgarian Bag Back Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Heavy Sandbag Bear Hug Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Shoulder Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Sandbag Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Sandbag Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Sandbag Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Sandbag Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag
Plate Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Plate Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Plate Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Plate Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate
Bodyweight Full Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight
Bodyweight Straddle Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight
Bodyweight Tuck Planche,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Bodyweight
Bodyweight Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight
Bodyweight Pseudo Planche Lean,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Pectoralis Major,Bodyweight
Bar L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar
Ring L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Single Arm Bar L Sit Hang,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Single Arm Ring L Sit Hang,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Single Arm Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Parallette L Sit Flutter Kicks,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars
Resistance Band Chest Fly,Beginner,Chest,Pectoralis Major,,,Resistance Band
Resistance Band Low Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band
Resistance Band Mid Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band
Resistance Band Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band
Resistance Band Face Pull to Overhead Press,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band
Single Arm Resistance Band Low Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band
Single Arm Resistance Band Mid Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band
Single Arm Suspension Mid Row,Novice,Back,Latissimus Dorsi,,,Suspension Trainer
Single Arm Resistance Band Chest Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Resistance Band
Resistance Band Reverse Grip Bicep Curl,Beginner,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Resistance Band
Resistance Band Alternating Reverse Grip Bicep Curl,Beginner,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Resistance Band
Resistance Band Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band
Resistance Band Alternating Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band
Resistance Band Y Raise,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band
Clubbell Order Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Order Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Bodyweight L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Single Arm L Sit,Master,Abdominals,Rectus Abdominis,,,Bodyweight
Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Resistance Band Cuban Press,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band
Resistance Band Tall Kneeling Cuban Press,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band
Single Arm Macebell Order Contralateral Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Single Arm Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Single Arm Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Stability Ball Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Bodyweight Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Suspension Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer
Bodyweight Straddle L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Bodyweight Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight
Single Arm Macebell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Superband Pull Apart,Beginner,Shoulders,Posterior Deltoids,,,Superband
Resistance Band Tall Kneeling Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band
Barbell Back Rack Alternating Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Alternating Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Resistance Band Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band
Resistance Band Alternating Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band
Ring Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Tuck L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Bar Tuck L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar
Single Arm Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Ring Support Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Single Arm Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Alternating Double Dumbbell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Macebell 360 to Single Arm 360,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell
Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell
Single Arm Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell
Clubbell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell
Clubbell Front Flag Hold Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Macebell Order March,Novice,Abdominals,Rectus Abdominis,,,Macebell
Single Arm Macebell Order March,Novice,Abdominals,Rectus Abdominis,,,Macebell
Single Arm Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
EZ Bar Incline Bench Lying Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar
EZ Bar Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar
EZ Bar Incline Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar
EZ Bar Decline Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar
Suspension Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Suspension Trainer
Double Dumbbell Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Double Dumbbell Incline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Double Dumbbell Decline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Dumbbell Crush Grip Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Dumbbell Crush Grip Incline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Dumbbell Crush Grip Decline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell
